1, 50.56
2, 65.02
3, 67.34
4, 72.55
5, 74.06
6, 78.09
7, 80.3
8, 80.34
9, 81.39
10, 81.54
11, 82.66
12, 82.77
13, 82.48
14, 83.5
15, 84.16
16, 83.33
17, 83.62
18, 85.45
19, 83.72
20, 85.78
21, 85.36
22, 86.45
23, 86.05
24, 85.87
25, 85.73
26, 86.84
27, 86.24
28, 85.97
29, 86.64
30, 87.17
31, 86.59
32, 87.09
33, 87.21
34, 87.42
35, 87.04
36, 87.95
37, 87.53
38, 88.0
39, 87.84
40, 87.17
41, 87.72
42, 86.64
43, 87.96
44, 88.72
45, 88.31
46, 88.04
47, 88.49
48, 88.34
49, 87.76
50, 87.7
51, 88.21
52, 88.58
53, 88.83
54, 88.32
55, 88.23
56, 88.36
57, 88.99
58, 88.78
59, 88.9
60, 88.97
61, 89.04
62, 88.97
63, 88.61
64, 88.7
65, 88.95
66, 88.42
67, 88.73
68, 88.88
69, 88.85
70, 89.0
71, 89.08
72, 89.47
73, 89.03
74, 88.82
75, 88.8
76, 89.29
77, 89.62
78, 89.0
79, 89.57
80, 89.32
81, 89.34
82, 89.68
83, 89.78
84, 89.37
85, 89.18
86, 88.87
87, 89.93
88, 89.14
89, 89.83
90, 89.5
91, 89.24
92, 89.42
93, 89.45
94, 89.64
95, 89.31
96, 89.27
97, 89.56
98, 89.24
99, 89.67
100, 89.66
101, 89.57
102, 89.57
103, 89.69
104, 89.44
105, 89.71
106, 89.65
107, 90.09
108, 90.07
109, 89.73
110, 89.7
111, 89.77
112, 89.93
113, 89.78
114, 89.8
115, 89.77
116, 89.96
117, 89.57
118, 90.02
119, 90.0
120, 89.93
121, 88.92
122, 89.46
123, 89.75
124, 90.19
125, 89.99
126, 90.15
127, 90.35
128, 89.62
129, 90.15
130, 90.33
131, 90.13
132, 89.66
133, 90.39
134, 89.78
135, 89.86
136, 89.77
137, 90.12
138, 89.88
139, 90.14
140, 89.88
141, 89.93
142, 90.29
143, 90.21
144, 89.92
145, 89.72
146, 90.42
147, 89.86
148, 90.37
149, 89.95
150, 89.83
151, 89.94
152, 89.96
153, 90.72
154, 90.6
155, 89.99
156, 90.45
157, 90.43
158, 89.94
159, 89.88
160, 90.57
161, 90.34
162, 90.69
163, 90.37
164, 90.61
165, 90.48
166, 89.96
167, 90.26
168, 90.45
169, 90.07
170, 90.72
171, 90.14
172, 90.3
173, 90.15
174, 90.36
175, 90.56
176, 90.32
177, 90.31
178, 90.17
179, 90.26
180, 90.2
181, 89.94
182, 90.22
183, 90.3
184, 90.05
185, 90.33
186, 90.38
187, 90.26
188, 90.43
189, 90.43
190, 90.52
191, 90.2
192, 90.21
193, 90.53
194, 90.44
195, 90.44
196, 90.49
197, 90.79
198, 90.15
199, 90.45
200, 90.08
